standard_code,eligibility,reason,standard_kind,canonical_product,primary_subject,product_subtype,function,material,application,metadata_confidence,product_confidence,review_required,review_reason,quality_flags
IS 10019: 1981,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,fastener,MILD STEEL STAYS AND FASTENERS,,,steel,door and window construction,high,high,False,,
IS 1003 (Part 1): 2003,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,door,TIMBER PANELLED AND GLAZED SHUTTERS PART 1 DOOR SHUTTERS,,,timber,flooring,high,high,False,,
IS 1003 (Part 2): 1994,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,window,TIMBER PANELLED AND GLAZED SHUTTERS PART 2 – WINDOW AND VENTILATOR SHUTTERS,,,timber,door and window construction,high,high,False,,
IS 10090: 1982,REVIEW_REQUIRED,low_confidence_metadata,material_standard,screw,NUMERICALS,,,aluminium,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 10124 (Part 10): 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe_fitting,bend,bend,carry_potable_water,PVC,potable water supply,high,high,False,,
IS 10124 (Part 11): 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe_fitting,bend,bend,carry_potable_water,PVC,potable water supply,high,high,False,,
IS 10124 (Part 12): 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe_fitting,bend,bend,carry_potable_water,PVC,potable water supply,high,high,False,,
IS 10124 (Part 13): 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe_fitting,bend,bend,carry_potable_water,PVC,potable water supply,high,high,False,,
IS 10124 (Part 2): 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe_fitting,socket,socket,carry_potable_water,PVC,potable water supply,high,high,False,,
IS 10124 (Part 3): 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe_fitting,reducer,reducer,carry_potable_water,PVC,potable water supply,high,high,False,,
IS 10124 (Part 4): 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe_fitting,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 4 SPECIFIC REQUIREMENTS FOR CAPS,,carry_potable_water,PVC,potable water supply,high,high,False,,
IS 10124 (Part 5): 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe_fitting,tee,tee,carry_potable_water,PVC,potable water supply,high,high,False,,
IS 10124 (Part 6): 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe_fitting,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 6 SPECIFIC REQUIREMENTS FOR FLANGED TAIL PIECES WITH METTALLIC FLANGES,,carry_potable_water,PVC,potable water supply,high,high,False,,
