standard_code,title,scope_excerpt,standard_kind,canonical_product,product_aliases,product_confidence,review_status,review_notes
IS 10019: 1981,MILD STEEL  STAYS  AND FASTENERS,"Requirements regarding materials, dimensions, manufacture and finish of stays and fasteners made of mild steel of the types that are commonly used in windows.",material_standard,fastener,fastener; fasteners; stay; stays,high,needs_review,
IS 1003 (Part 1): 2003,TIMBER PANELLED AND GLAZED,"Requirements regarding material, sizes, construction, workmanship, finish, inspection and testing of timber door shutters with timber, plywood, blockboard, veneered particle board, asbestos cement sheet, wire guage an...",material_standard,door,door; door frame; door frames; doors; shutter; shutters,high,needs_review,
IS 1003 (Part 2): 1994,TIMBER PANELLED AND,"Requirements regarding material, sizes, construction, workmanship, finish, inspection and testing of timber window and ventilator shutters with timber, plywood, blockboard, wireguaze and glass panels used in domestic...",material_standard,window,ventilator; ventilators; window; windows,high,needs_review,
IS 10090: 1982,NUMERICALS,"Requirements regarding materials, dimensions, manufacture and finish of numericals.",material_standard,screw,countersunk screw; hexagon head screw; screw; screws,low,needs_review,
IS 10124 (Part 10): 1988,FABRICATED PVC FITTING,"Requirements of manufacture, dimensions and marking for fabricated PVC 45 o bends for potable water supplies.",product_standard,pipe_fitting,bend; bends; coupler; couplers; fitting; fittings; pipe fitting; pipe fittings; reducer; reducers; saddle piece; saddle pieces; socket; sockets; tee; tees,high,needs_review,
IS 10124 (Part 11): 1988,FABRICATED PVC FITTING,"Requirements of manufacture, dimensions and marking for fabricated PVC 30 o bends for potable water supplies.",product_standard,pipe_fitting,bend; bends; coupler; couplers; fitting; fittings; pipe fitting; pipe fittings; reducer; reducers; saddle piece; saddle pieces; socket; sockets; tee; tees,high,needs_review,
IS 10124 (Part 12): 1988,FABRICATED PVC FITTING,"Requirements of manufacture, dimensions and marking for fabricated PVC 22½ o bends for potable water supplies.",product_standard,pipe_fitting,bend; bends; coupler; couplers; fitting; fittings; pipe fitting; pipe fittings; reducer; reducers; saddle piece; saddle pieces; socket; sockets; tee; tees,high,needs_review,
IS 10124 (Part 13): 1988,FABRICATED PVC FITTING,"Requirements of manufacture, dimensions and marking for fabricated PVC 11¼ o bends for potable water supplies.",product_standard,pipe_fitting,bend; bends; coupler; couplers; fitting; fittings; pipe fitting; pipe fittings; reducer; reducers; saddle piece; saddle pieces; socket; sockets; tee; tees,high,needs_review,
IS 10124 (Part 2): 1988,FABRICATED PVC FITTINGS FOR,"Requirements for manufacture, dimensions and marking for fabricated PVC sockets for potable water suplies.",product_standard,pipe_fitting,bend; bends; coupler; couplers; fitting; fittings; pipe fitting; pipe fittings; reducer; reducers; saddle piece; saddle pieces; socket; sockets; tee; tees,high,needs_review,
IS 10124 (Part 3): 1988,FABRICATED PVC FITTINGS FOR,"Requirements of manufacture, dimensions and marking for fabricated PVC straight reducers for portable water supplies.",product_standard,pipe_fitting,bend; bends; coupler; couplers; fitting; fittings; pipe fitting; pipe fittings; reducer; reducers; saddle piece; saddle pieces; socket; sockets; tee; tees,high,needs_review,
