query_id,query,positive_standard,positive_title,specificity,style,hard_negative_codes,review_status,review_notes
rq_is_654_1992_01,Require Mangalore-pattern interlocking clay roofing tiles for machine-pressed roof covering where the distinguishing feature is Mangalore pattern interlocking roofing-tile form,IS 654: 1992,"CLAY ROOFING TILES, MANGALORE PATTERN",specific,formal,IS 13317: 1992;IS 1478: 1992;IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992,pending,
rq_is_654_1992_02,Procure Mangalore-pattern interlocking clay roofing tiles for machine-pressed roof covering; material or form should be clay,IS 654: 1992,"CLAY ROOFING TILES, MANGALORE PATTERN",specific,procurement,IS 13317: 1992;IS 1478: 1992;IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992,pending,
rq_is_654_1992_03,Need an Indian Standard for Mangalore-pattern interlocking clay roofing tiles used in machine-pressed roof covering with Mangalore pattern interlocking roofing-tile form,IS 654: 1992,"CLAY ROOFING TILES, MANGALORE PATTERN",specific,technical_natural,IS 13317: 1992;IS 1478: 1992;IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992,pending,
rq_is_654_1992_04,Looking for Mangalore-pattern interlocking clay roofing tiles suited to machine-pressed roof covering,IS 654: 1992,"CLAY ROOFING TILES, MANGALORE PATTERN",general_but_sufficient,general_natural,IS 13317: 1992;IS 1478: 1992;IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992,pending,
rq_is_654_1992_05,"We need Mangalore-pattern interlocking clay roofing tiles for machine-pressed roof covering, especially Mangalore pattern interlocking roofing-tile form",IS 654: 1992,"CLAY ROOFING TILES, MANGALORE PATTERN",general_but_sufficient,conversational,IS 13317: 1992;IS 1478: 1992;IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992,pending,
rq_is_654_1992_06,Select the standard for a building roof using machine-pressed Mangalore-pattern clay tiles,IS 654: 1992,"CLAY ROOFING TILES, MANGALORE PATTERN",specific,use_case,IS 13317: 1992;IS 1478: 1992;IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992,pending,
rq_is_654_1992_07,Specification needed for clay Mangalore-pattern interlocking clay roofing tiles in machine-pressed roof covering,IS 654: 1992,"CLAY ROOFING TILES, MANGALORE PATTERN",specific,formal,IS 13317: 1992;IS 1478: 1992;IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992,pending,
rq_is_654_1992_08,Purchase requirement for Mangalore-pattern interlocking clay roofing tiles covering machine-pressed roof covering,IS 654: 1992,"CLAY ROOFING TILES, MANGALORE PATTERN",general_but_sufficient,procurement,IS 13317: 1992;IS 1478: 1992;IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992,pending,
rq_is_654_1992_09,"Find the standard that covers Mangalore-pattern interlocking clay roofing tiles, Mangalore pattern interlocking roofing-tile form",IS 654: 1992,"CLAY ROOFING TILES, MANGALORE PATTERN",specific,technical_natural,IS 13317: 1992;IS 1478: 1992;IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992,pending,
rq_is_654_1992_10,Need compliant Mangalore-pattern interlocking clay roofing tiles for machine-pressed roof covering,IS 654: 1992,"CLAY ROOFING TILES, MANGALORE PATTERN",general_but_sufficient,general_natural,IS 13317: 1992;IS 1478: 1992;IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992,pending,
rq_is_654_1992_11,Which IS should I use for Mangalore-pattern interlocking clay roofing tiles when the job is machine-pressed roof covering?,IS 654: 1992,"CLAY ROOFING TILES, MANGALORE PATTERN",specific,conversational,IS 13317: 1992;IS 1478: 1992;IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992,pending,
rq_is_654_1992_12,Standard selection for machine-pressed roof covering: Mangalore-pattern interlocking clay roofing tiles with Mangalore pattern interlocking roofing-tile form,IS 654: 1992,"CLAY ROOFING TILES, MANGALORE PATTERN",specific,use_case,IS 13317: 1992;IS 1478: 1992;IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992,pending,
rq_is_1464_1992_01,Require machine-pressed clay ridge and ceiling tiles for roof ridge or ceiling tile work where the distinguishing feature is ridge or ceiling tile use rather than ordinary roof tiles,IS 1464: 1992,CLAY RIDGE AND CEILING TILES,specific,formal,IS 3951 (Part 2): 1975;IS 3951 (Part 1): 1975;IS 1478: 1992;IS 2690 (Part 1): 1993,pending,
rq_is_1464_1992_02,Procure machine-pressed clay ridge and ceiling tiles for roof ridge or ceiling tile work; material or form should be clay,IS 1464: 1992,CLAY RIDGE AND CEILING TILES,specific,procurement,IS 3951 (Part 2): 1975;IS 3951 (Part 1): 1975;IS 1478: 1992;IS 2690 (Part 1): 1993,pending,
rq_is_1464_1992_03,Need an Indian Standard for machine-pressed clay ridge and ceiling tiles used in roof ridge or ceiling tile work with ridge or ceiling tile use rather than ordinary roof tiles,IS 1464: 1992,CLAY RIDGE AND CEILING TILES,specific,technical_natural,IS 3951 (Part 2): 1975;IS 3951 (Part 1): 1975;IS 1478: 1992;IS 2690 (Part 1): 1993,pending,
rq_is_1464_1992_04,Looking for machine-pressed clay ridge and ceiling tiles suited to roof ridge or ceiling tile work,IS 1464: 1992,CLAY RIDGE AND CEILING TILES,general_but_sufficient,general_natural,IS 3951 (Part 2): 1975;IS 3951 (Part 1): 1975;IS 1478: 1992;IS 2690 (Part 1): 1993,pending,
rq_is_1464_1992_05,"We need machine-pressed clay ridge and ceiling tiles for roof ridge or ceiling tile work, especially ridge or ceiling tile use rather than ordinary roof tiles",IS 1464: 1992,CLAY RIDGE AND CEILING TILES,general_but_sufficient,conversational,IS 3951 (Part 2): 1975;IS 3951 (Part 1): 1975;IS 1478: 1992;IS 2690 (Part 1): 1993,pending,
rq_is_1464_1992_06,Select the standard for ridge and ceiling applications using machine-pressed clay tiles,IS 1464: 1992,CLAY RIDGE AND CEILING TILES,specific,use_case,IS 3951 (Part 2): 1975;IS 3951 (Part 1): 1975;IS 1478: 1992;IS 2690 (Part 1): 1993,pending,
